X 0 vars=V0:3,V0:364,V1:620,V3:132,V4:140,V5:412,V6:254,V7:488,V8:386,V8:697,V9:74,V11:443 unsat=C0:240,C0:270
X 1 vars=V0:19,V0:284,V1:28,V3:308,V4:60,V5:588,V6:238,V7:280,V8:393,V8:754,V9:442,V11:715 unsat=C0:544,C0:766
X 2 vars=V0:35,V0:204,V1:204,V3:484,V4:748,V5:764,V6:222,V7:72,V8:89,V8:354,V9:42,V11:219 unsat=C0:80,C0:494
X 3 vars=V0:51,V0:124,V1:380,V3:660,V4:668,V5:172,V6:206,V7:632,V8:553,V8:722,V9:410,V11:491 unsat=C0:222,C0:384
X 4 vars=V0:83,V0:732,V1:732,V3:244,V4:508,V5:524,V6:174,V7:216,V8:690,V8:713,V9:378,V11:267 unsat=C0:224,C0:446
X 5 vars=V0:99,V0:652,V1:140,V3:420,V4:428,V5:700,V6:158,V7:8,V8:290,V8:409,V9:746,V11:539 unsat=C0:174,C0:528
X 6 vars=V0:115,V0:572,V1:316,V3:596,V4:348,V5:108,V6:142,V7:568,V8:105,V8:658,V9:346,V11:43 unsat=C0:64,C0:670
X 7 vars=V0:131,V0:492,V1:492,V3:4,V4:268,V5:284,V6:126,V7:360,V8:258,V8:569,V9:714,V11:315 unsat=C0:368,C0:398
X 8 vars=V0:147,V0:412,V1:668,V3:180,V4:188,V5:460,V6:110,V7:152,V8:265,V8:626,V9:314,V11:587 unsat=C0:126,C0:672
X 9 vars=V0:163,V0:332,V1:76,V3:356,V4:108,V5:636,V6:94,V7:712,V8:226,V8:729,V9:682,V11:91 unsat=C0:208,C0:622
X 10 vars=V0:179,V0:252,V1:252,V3:532,V4:28,V5:44,V6:78,V7:504,V8:425,V8:594,V9:282,V11:363 unsat=C0:350,C0:512
X 11 vars=V0:243,V0:700,V1:188,V3:468,V4:476,V5:748,V6:14,V7:440,V8:530,V8:745,V9:218,V11:683 unsat=C0:30,C0:192
X 12 vars=V0:259,V0:620,V1:364,V3:644,V4:396,V5:156,V6:766,V7:232,V8:130,V8:441,V9:586,V11:187 unsat=C0:496,C0:526
X 13 vars=V0:275,V0:540,V1:540,V3:52,V4:316,V5:332,V6:750,V7:24,V8:137,V8:498,V9:186,V11:459 unsat=C0:32,C0:254
X 14 vars=V0:291,V0:460,V1:716,V3:228,V4:236,V5:508,V6:734,V7:584,V8:98,V8:601,V9:554,V11:731 unsat=C0:336,C0:750
X 15 vars=V0:307,V0:380,V1:124,V3:404,V4:156,V5:684,V6:718,V7:376,V8:297,V8:466,V9:154,V11:235 unsat=C0:478,C0:640
X 16 vars=V0:387,V0:748,V1:236,V3:516,V4:524,V5:28,V6:638,V7:104,V8:2,V8:313,V9:458,V11:59 unsat=C0:624,C0:654
X 17 vars=V0:403,V0:668,V1:412,V3:692,V4:444,V5:204,V6:622,V7:664,V8:9,V8:370,V9:58,V11:331 unsat=C0:160,C0:382
X 18 vars=V0:419,V0:588,V1:588,V3:100,V4:364,V5:380,V6:606,V7:456,V8:473,V8:738,V9:426,V11:603 unsat=C0:110,C0:464
X 19 vars=V0:435,V0:508,V1:764,V3:276,V4:284,V5:556,V6:590,V7:248,V8:169,V8:338,V9:26,V11:107 unsat=C0:0,C0:606
X 20 vars=V0:547,V0:716,V1:460,V3:740,V4:492,V5:252,V6:478,V7:328,V8:345,V8:610,V9:298,V11:475 unsat=C0:238,C0:592
X 21 vars=V0:563,V0:636,V1:636,V3:148,V4:412,V5:428,V6:462,V7:120,V8:41,V8:210,V9:666,V11:747 unsat=C0:128,C0:734
X 22 vars=V0:691,V0:764,V1:508,V3:20,V4:540,V5:300,V6:334,V7:760,V8:82,V8:681,V9:538,V11:619 unsat=C0:94,C0:256
