X 0 vars=V0:10,V1:538,V2:26,V2:453,V3:126,V4:402,V5:228,V5:698,V6:485,V6:550,V7:438,V7:692,V8:134,V8:182,V9:584,V10:176,V11:86,V11:515 unsat=C0:39,C0:462
X 1 vars=V0:26,V1:42,V2:42,V2:757,V3:14,V4:418,V5:202,V5:436,V6:21,V6:182,V7:132,V7:326,V8:534,V8:582,V9:408,V10:0,V11:627,V11:742 unsat=C0:94,C0:535
X 2 vars=V0:42,V1:314,V2:58,V2:293,V3:670,V4:434,V5:474,V5:644,V6:325,V6:582,V7:214,V7:340,V8:166,V8:214,V9:232,V10:592,V11:630,V11:739 unsat=C0:263,C0:494
X 3 vars=V0:58,V1:586,V2:74,V2:597,V3:558,V4:450,V5:84,V5:746,V6:214,V6:629,V7:102,V7:548,V8:566,V8:614,V9:56,V10:416,V11:83,V11:518 unsat=C0:126,C0:759
X 4 vars=V0:74,V1:90,V2:90,V2:133,V3:446,V4:466,V5:250,V5:292,V6:165,V6:614,V7:756,V7:758,V8:198,V8:246,V9:648,V10:240,V11:195,V11:406 unsat=C0:487,C0:526
X 5 vars=V0:90,V1:362,V2:106,V2:437,V3:334,V4:482,V5:500,V5:522,V6:246,V6:469,V7:196,V7:646,V8:598,V8:646,V9:472,V10:64,V11:294,V11:307 unsat=C0:158,C0:215
X 6 vars=V0:106,V1:634,V2:122,V2:741,V3:222,V4:498,V5:26,V5:708,V6:5,V6:646,V7:404,V7:534,V8:230,V8:278,V9:296,V10:656,V11:182,V11:419 unsat=C0:558,C0:711
X 7 vars=V0:122,V1:138,V2:138,V2:277,V3:110,V4:514,V5:148,V5:298,V6:278,V6:309,V7:422,V7:612,V8:630,V8:678,V9:120,V10:480,V11:70,V11:531 unsat=C0:190,C0:439
X 8 vars=V0:138,V1:410,V2:154,V2:581,V3:766,V4:530,V5:356,V5:570,V6:613,V6:678,V7:52,V7:310,V8:262,V8:310,V9:712,V10:304,V11:643,V11:726 unsat=C0:167,C0:590
X 9 vars=V0:154,V1:682,V2:117,V2:170,V3:654,V4:546,V5:74,V5:564,V6:149,V6:310,V7:198,V7:260,V8:662,V8:710,V9:536,V10:128,V11:614,V11:755 unsat=C0:222,C0:663
X 10 vars=V0:170,V1:186,V2:186,V2:421,V3:542,V4:562,V5:4,V5:346,V6:453,V6:710,V7:86,V7:468,V8:294,V8:342,V9:360,V10:720,V11:99,V11:502 unsat=C0:391,C0:622
X 11 vars=V0:186,V1:458,V2:202,V2:725,V3:430,V4:578,V5:212,V5:618,V6:342,V6:757,V7:676,V7:742,V8:694,V8:742,V9:184,V10:544,V11:211,V11:390 unsat=C0:119,C0:254
X 12 vars=V0:202,V1:730,V2:218,V2:261,V3:318,V4:594,V5:122,V5:420,V6:293,V6:742,V7:116,V7:630,V8:326,V8:374,V9:8,V10:368,V11:278,V11:323 unsat=C0:615,C0:654
X 13 vars=V0:218,V1:234,V2:234,V2:565,V3:206,V4:610,V5:394,V5:628,V6:374,V6:597,V7:324,V7:518,V8:6,V8:726,V9:600,V10:192,V11:166,V11:435 unsat=C0:286,C0:343
X 14 vars=V0:234,V1:506,V2:101,V2:250,V3:94,V4:626,V5:68,V5:666,V6:6,V6:133,V7:406,V7:532,V8:358,V8:406,V9:424,V10:16,V11:54,V11:547 unsat=C0:71,C0:686
X 15 vars=V0:250,V1:10,V2:266,V2:405,V3:750,V4:642,V5:170,V5:276,V6:406,V6:437,V7:294,V7:740,V8:38,V8:758,V9:248,V10:608,V11:659,V11:710 unsat=C0:318,C0:567
X 16 vars=V0:266,V1:282,V2:282,V2:709,V3:638,V4:658,V5:442,V5:484,V6:38,V6:741,V7:180,V7:182,V8:390,V8:438,V9:72,V10:432,V11:3,V11:598 unsat=C0:295,C0:718
X 17 vars=V0:282,V1:554,V2:245,V2:298,V3:526,V4:674,V5:692,V5:714,V6:277,V6:438,V7:70,V7:388,V8:22,V8:70,V9:664,V10:256,V11:115,V11:486 unsat=C0:23,C0:350
X 18 vars=V0:298,V1:58,V2:314,V2:549,V3:414,V4:690,V5:132,V5:218,V6:70,V6:581,V7:596,V7:726,V8:422,V8:470,V9:488,V10:80,V11:227,V11:374 unsat=C0:519,C0:750
X 19 vars=V0:314,V1:330,V2:85,V2:330,V3:302,V4:706,V5:340,V5:490,V6:117,V6:470,V7:36,V7:614,V8:54,V8:102,V9:312,V10:672,V11:262,V11:339 unsat=C0:247,C0:382
X 20 vars=V0:330,V1:602,V2:346,V2:389,V3:190,V4:722,V5:548,V5:762,V6:102,V6:421,V7:244,V7:502,V8:454,V8:502,V9:136,V10:496,V11:150,V11:451 unsat=C0:14,C0:743
X 21 vars=V0:346,V1:106,V2:362,V2:693,V3:78,V4:738,V5:266,V5:756,V6:502,V6:725,V7:390,V7:452,V8:86,V8:134,V9:728,V10:320,V11:38,V11:563 unsat=C0:414,C0:471
X 22 vars=V0:362,V1:378,V2:229,V2:378,V3:734,V4:754,V5:196,V5:538,V6:134,V6:261,V7:278,V7:660,V8:486,V8:534,V9:552,V10:144,V11:675,V11:694 unsat=C0:46,C0:199
X 23 vars=V0:378,V1:650,V2:394,V2:533,V3:622,V4:2,V5:42,V5:404,V6:534,V6:565,V7:100,V7:166,V8:118,V8:166,V9:376,V10:736,V11:19,V11:582 unsat=C0:446,C0:695
X 24 vars=V0:394,V1:154,V2:69,V2:410,V3:510,V4:18,V5:314,V5:612,V6:101,V6:166,V7:54,V7:308,V8:518,V8:566,V9:200,V10:560,V11:131,V11:470 unsat=C0:78,C0:423
X 25 vars=V0:410,V1:426,V2:373,V2:426,V3:398,V4:34,V5:52,V5:586,V6:405,V6:566,V7:516,V7:710,V8:150,V8:198,V9:24,V10:384,V11:243,V11:358 unsat=C0:151,C0:478
X 26 vars=V0:426,V1:698,V2:442,V2:677,V3:286,V4:50,V5:90,V5:260,V6:198,V6:709,V7:598,V7:724,V8:550,V8:598,V9:616,V10:208,V11:246,V11:355 unsat=C0:110,C0:647
X 27 vars=V0:442,V1:202,V2:213,V2:458,V3:174,V4:66,V5:362,V5:468,V6:245,V6:598,V7:164,V7:486,V8:182,V8:230,V9:440,V10:32,V11:134,V11:467 unsat=C0:375,C0:510
X 28 vars=V0:458,V1:474,V2:474,V2:517,V3:62,V4:82,V5:634,V5:676,V6:230,V6:549,V7:372,V7:374,V8:582,V8:630,V9:264,V10:624,V11:22,V11:579 unsat=C0:103,C0:142
X 29 vars=V0:474,V1:746,V2:53,V2:490,V3:718,V4:98,V5:116,V5:138,V6:85,V6:630,V7:262,V7:580,V8:214,V8:262,V9:88,V10:448,V11:678,V11:691 unsat=C0:542,C0:599
