X 0 vars=V2:757,V5:436,V6:182,V7:326,V8:582,V11:742 unsat=C0:94,C0:535
X 1 vars=V2:741,V5:708,V6:646,V7:534,V8:278,V11:182 unsat=C0:558,C0:711
X 2 vars=V2:725,V5:212,V6:342,V7:742,V8:742,V11:390 unsat=C0:119,C0:254
X 3 vars=V2:709,V5:484,V6:38,V7:182,V8:438,V11:598 unsat=C0:295,C0:718
X 4 vars=V2:693,V5:756,V6:502,V7:390,V8:134,V11:38 unsat=C0:414,C0:471
X 5 vars=V2:661,V5:532,V6:662,V7:38,V8:294,V11:454 unsat=C0:55,C0:574
X 6 vars=V2:645,V5:36,V6:358,V7:246,V8:758,V11:662 unsat=C0:231,C0:270
X 7 vars=V2:629,V5:308,V6:54,V7:454,V8:454,V11:102 unsat=C0:407,C0:734
X 8 vars=V2:613,V5:580,V6:518,V7:662,V8:150,V11:310 unsat=C0:430,C0:583
X 9 vars=V2:597,V5:84,V6:214,V7:102,V8:614,V11:518 unsat=C0:126,C0:759
X 10 vars=V2:581,V5:356,V6:678,V7:310,V8:310,V11:726 unsat=C0:167,C0:590
X 11 vars=V2:565,V5:628,V6:374,V7:518,V8:6,V11:166 unsat=C0:286,C0:343
X 12 vars=V2:549,V5:132,V6:70,V7:726,V8:470,V11:374 unsat=C0:519,C0:750
X 13 vars=V2:517,V5:676,V6:230,V7:374,V8:630,V11:22 unsat=C0:103,C0:142
X 14 vars=V2:501,V5:180,V6:694,V7:582,V8:326,V11:230 unsat=C0:279,C0:606
X 15 vars=V2:485,V5:452,V6:390,V7:22,V8:22,V11:438 unsat=C0:302,C0:455
X 16 vars=V2:453,V5:228,V6:550,V7:438,V8:182,V11:86 unsat=C0:39,C0:462
X 17 vars=V2:437,V5:500,V6:246,V7:646,V8:646,V11:294 unsat=C0:158,C0:215
X 18 vars=V2:421,V5:4,V6:710,V7:86,V8:342,V11:502 unsat=C0:391,C0:622
X 19 vars=V2:405,V5:276,V6:406,V7:294,V8:38,V11:710 unsat=C0:318,C0:567
X 20 vars=V2:373,V5:52,V6:566,V7:710,V8:198,V11:358 unsat=C0:151,C0:478
X 21 vars=V2:357,V5:324,V6:262,V7:150,V8:662,V11:566 unsat=C0:174,C0:327
X 22 vars=V2:341,V5:596,V6:726,V7:358,V8:358,V11:6 unsat=C0:503,C0:638
X 23 vars=V2:325,V5:100,V6:422,V7:566,V8:54,V11:214 unsat=C0:334,C0:679
X 24 vars=V2:309,V5:372,V6:118,V7:6,V8:518,V11:422 unsat=C0:30,C0:87
X 25 vars=V2:293,V5:644,V6:582,V7:214,V8:214,V11:630 unsat=C0:263,C0:494
X 26 vars=V2:277,V5:148,V6:278,V7:422,V8:678,V11:70 unsat=C0:190,C0:439
X 27 vars=V2:261,V5:420,V6:742,V7:630,V8:374,V11:278 unsat=C0:615,C0:654
X 28 vars=V2:245,V5:692,V6:438,V7:70,V8:70,V11:486 unsat=C0:23,C0:350
X 29 vars=V2:229,V5:196,V6:134,V7:278,V8:534,V11:694 unsat=C0:46,C0:199
X 30 vars=V2:213,V5:468,V6:598,V7:486,V8:230,V11:134 unsat=C0:375,C0:510
X 31 vars=V2:197,V5:740,V6:294,V7:694,V8:694,V11:342 unsat=C0:206,C0:551
X 32 vars=V2:677,V5:260,V6:198,V7:598,V8:598,V11:246 unsat=C0:110,C0:647
X 33 vars=V2:181,V5:244,V6:758,V7:134,V8:390,V11:550 unsat=C0:670,C0:727
X 34 vars=V2:165,V5:516,V6:454,V7:342,V8:86,V11:758 unsat=C0:135,C0:366
X 35 vars=V2:149,V5:20,V6:150,V7:550,V8:550,V11:198 unsat=C0:62,C0:311
X 36 vars=V2:133,V5:292,V6:614,V7:758,V8:246,V11:406 unsat=C0:487,C0:526
