X 0 vars=V2:16,V2:757,V5:121,V5:436,V6:182,V7:326,V8:582,V11:742 unsat=C2:115,C2:391
X 1 vars=V2:672,V2:741,V5:489,V5:708,V6:646,V7:534,V8:278,V11:182 unsat=C2:567,C2:675
X 2 vars=V2:560,V2:725,V5:89,V5:212,V6:342,V7:742,V8:742,V11:390 unsat=C2:467,C2:743
X 3 vars=V2:448,V2:709,V5:457,V5:484,V6:38,V7:182,V8:438,V11:598 unsat=C2:151,C2:259
X 4 vars=V2:336,V2:693,V5:57,V5:756,V6:502,V7:390,V8:134,V11:38 unsat=C2:51,C2:327
X 5 vars=V2:112,V2:661,V5:25,V5:532,V6:662,V7:38,V8:294,V11:454 unsat=C2:403,C2:679
X 6 vars=V2:0,V2:645,V5:36,V5:393,V6:358,V7:246,V8:758,V11:662 unsat=C2:87,C2:195
X 7 vars=V2:629,V2:656,V5:308,V5:761,V6:54,V7:454,V8:454,V11:102 unsat=C2:263,C2:755
X 8 vars=V2:544,V2:613,V5:361,V5:580,V6:518,V7:662,V8:150,V11:310 unsat=C2:439,C2:547
X 9 vars=V2:432,V2:597,V5:84,V5:729,V6:214,V7:102,V8:614,V11:518 unsat=C2:339,C2:615
X 10 vars=V2:320,V2:581,V5:329,V5:356,V6:678,V7:310,V8:310,V11:726 unsat=C2:23,C2:131
X 11 vars=V2:208,V2:565,V5:628,V5:697,V6:374,V7:518,V8:6,V11:166 unsat=C2:199,C2:691
X 12 vars=V2:96,V2:549,V5:132,V5:297,V6:70,V7:726,V8:470,V11:374 unsat=C2:375,C2:483
X 13 vars=V2:517,V2:640,V5:265,V5:676,V6:230,V7:374,V8:630,V11:22 unsat=C2:67,C2:727
X 14 vars=V2:501,V2:528,V5:180,V5:633,V6:694,V7:582,V8:326,V11:230 unsat=C2:135,C2:627
X 15 vars=V2:416,V2:485,V5:233,V5:452,V6:390,V7:22,V8:22,V11:438 unsat=C2:311,C2:419
X 16 vars=V2:192,V2:453,V5:201,V5:228,V6:550,V7:438,V8:182,V11:86 unsat=C2:3,C2:663
X 17 vars=V2:80,V2:437,V5:500,V5:569,V6:246,V7:646,V8:646,V11:294 unsat=C2:71,C2:563
X 18 vars=V2:421,V2:736,V5:4,V5:169,V6:710,V7:86,V8:342,V11:502 unsat=C2:247,C2:355
X 19 vars=V2:405,V2:624,V5:276,V5:537,V6:406,V7:294,V8:38,V11:710 unsat=C2:147,C2:423
X 20 vars=V2:373,V2:400,V5:52,V5:505,V6:566,V7:710,V8:198,V11:358 unsat=C2:7,C2:499
X 21 vars=V2:288,V2:357,V5:105,V5:324,V6:262,V7:150,V8:662,V11:566 unsat=C2:183,C2:291
X 22 vars=V2:176,V2:341,V5:473,V5:596,V6:726,V7:358,V8:358,V11:6 unsat=C2:83,C2:359
X 23 vars=V2:64,V2:325,V5:73,V5:100,V6:422,V7:566,V8:54,V11:214 unsat=C2:535,C2:643
X 24 vars=V2:309,V2:720,V5:372,V5:441,V6:118,V7:6,V8:518,V11:422 unsat=C2:435,C2:711
X 25 vars=V2:293,V2:608,V5:41,V5:644,V6:582,V7:214,V8:214,V11:630 unsat=C2:119,C2:227
X 26 vars=V2:277,V2:496,V5:148,V5:409,V6:278,V7:422,V8:678,V11:70 unsat=C2:19,C2:295
X 27 vars=V2:261,V2:384,V5:9,V5:420,V6:742,V7:630,V8:374,V11:278 unsat=C2:471,C2:579
X 28 vars=V2:245,V2:272,V5:377,V5:692,V6:438,V7:70,V8:70,V11:486 unsat=C2:371,C2:647
X 29 vars=V2:160,V2:229,V5:196,V5:745,V6:134,V7:278,V8:534,V11:694 unsat=C2:55,C2:163
X 30 vars=V2:48,V2:213,V5:345,V5:468,V6:598,V7:486,V8:230,V11:134 unsat=C2:231,C2:723
X 31 vars=V2:197,V2:704,V5:713,V5:740,V6:294,V7:694,V8:694,V11:342 unsat=C2:407,C2:515
X 32 vars=V2:224,V2:677,V5:260,V5:425,V6:198,V7:598,V8:598,V11:246 unsat=C2:503,C2:611
X 33 vars=V2:181,V2:592,V5:244,V5:313,V6:758,V7:134,V8:390,V11:550 unsat=C2:307,C2:583
X 34 vars=V2:165,V2:480,V5:516,V5:681,V6:454,V7:342,V8:86,V11:758 unsat=C2:99,C2:759
X 35 vars=V2:149,V2:368,V5:20,V5:281,V6:150,V7:550,V8:550,V11:198 unsat=C2:167,C2:659
X 36 vars=V2:133,V2:256,V5:292,V5:649,V6:614,V7:758,V8:246,V11:406 unsat=C2:343,C2:451
X 37 vars=V2:117,V2:144,V5:249,V5:564,V6:310,V7:198,V8:710,V11:614 unsat=C2:243,C2:519
