X 0 vars=V0:0,V1:143,V2:291,V3:261,V4:129,V5:273 unsat=C0:326,C0:434
X 1 vars=V0:0,V1:144,V2:195,V3:122,V4:486,V5:132 unsat=C1:89,C1:629
X 2 vars=V0:0,V1:294,V2:162,V3:306,V4:357,V5:284 unsat=C2:143,C2:251
X 3 vars=V0:0,V2:60,V4:590,V7:194,V9:420,V11:432 unsat=C2:340,C2:412
X 4 vars=V0:0,V2:314,V4:588,V7:360,V9:372,V11:350 unsat=C1:280,C1:352
X 5 vars=V0:0,V2:562,V4:190,V7:562,V9:396,V11:334 unsat=C0:254,C0:326
X 6 vars=V0:1,V1:145,V2:304,V3:303,V4:163,V5:565 unsat=C1:54,C1:162
X 7 vars=V0:1,V1:216,V2:508,V3:586,V4:22,V5:166 unsat=C0:291,C0:399
X 8 vars=V0:1,V1:403,V2:487,V3:631,V4:142,V5:141 unsat=C2:0,C2:540
X 9 vars=V0:1,V2:203,V4:47,V7:419,V9:433,V11:623 unsat=C0:219,C0:291
X 10 vars=V0:1,V2:277,V4:303,V7:591,V9:421,V11:1 unsat=C2:17,C2:89
X 11 vars=V0:1,V2:459,V4:373,V7:145,V9:373,V11:531 unsat=C1:389,C1:461
X 12 vars=V0:2,V1:146,V2:413,V3:484,V4:488,V5:350 unsat=C1:127,C1:235
X 13 vars=V0:2,V1:289,V2:77,V3:263,V4:563,V5:59 unsat=C0:256,C0:364
X 14 vars=V0:2,V1:512,V2:164,V3:308,V4:575,V5:646 unsat=C2:289,C2:397
X 15 vars=V0:2,V2:492,V4:552,V7:276,V9:470,V11:264 unsat=C0:184,C0:256
X 16 vars=V0:2,V2:494,V4:16,V7:340,V9:422,V11:218 unsat=C2:342,C2:414
X 17 vars=V0:2,V2:604,V4:158,V7:578,V9:374,V11:64 unsat=C1:498,C1:570
X 18 vars=V0:3,V1:147,V2:522,V3:17,V4:165,V5:135 unsat=C1:200,C1:308
X 19 vars=V0:3,V1:362,V2:294,V3:588,V4:456,V5:600 unsat=C0:221,C0:329
X 20 vars=V0:3,V1:621,V2:489,V3:633,V4:360,V5:503 unsat=C2:38,C2:146
X 21 vars=V0:3,V2:63,V4:377,V7:89,V9:423,V11:435 unsat=C2:19,C2:91
X 22 vars=V0:3,V2:101,V4:591,V7:363,V9:375,V11:245 unsat=C1:31,C1:607
X 23 vars=V0:3,V2:133,V4:409,V7:133,V9:507,V11:553 unsat=C0:149,C0:221
X 24 vars=V0:4,V1:82,V2:166,V3:310,V4:145,V5:360 unsat=C2:435,C2:543
X 25 vars=V0:4,V1:148,V2:631,V3:198,V4:490,V5:568 unsat=C1:273,C1:381
X 26 vars=V0:4,V1:435,V2:511,V3:265,V4:349,V5:493 unsat=C0:186,C0:294
X 27 vars=V0:4,V2:246,V4:376,V7:148,V9:376,V11:426 unsat=C1:68,C1:140
X 28 vars=V0:4,V2:280,V4:90,V7:486,V9:424,V11:4 unsat=C2:344,C2:416
X 29 vars=V0:4,V2:422,V4:266,V7:638,V9:544,V11:194 unsat=C0:114,C0:186
X 30 vars=V0:5,V1:149,V2:92,V3:379,V4:167,V5:353 unsat=C1:346,C1:454
X 31 vars=V0:5,V1:191,V2:491,V3:635,V4:578,V5:217 unsat=C2:184,C2:292
X 32 vars=V0:5,V1:508,V2:80,V3:590,V4:242,V5:386 unsat=C0:151,C0:259
X 33 vars=V0:5,V2:63,V4:123,V7:495,V9:581,V11:483 unsat=C0:79,C0:151
X 34 vars=V0:5,V2:391,V4:161,V7:581,V9:377,V11:607 unsat=C1:177,C1:249
X 35 vars=V0:5,V2:497,V4:451,V7:235,V9:425,V11:221 unsat=C2:21,C2:93
X 36 vars=V0:6,V1:150,V2:201,V3:560,V4:492,V5:138 unsat=C1:419,C1:527
X 37 vars=V0:6,V1:300,V2:168,V3:312,V4:363,V5:74 unsat=C2:41,C2:581
X 38 vars=V0:6,V1:581,V2:297,V3:267,V4:135,V5:279 unsat=C0:116,C0:224
X 39 vars=V0:6,V2:66,V4:164,V7:632,V9:426,V11:438 unsat=C2:346,C2:418
X 40 vars=V0:6,V2:352,V4:628,V7:352,V9:618,V11:124 unsat=C0:44,C0:116
X 41 vars=V0:6,V2:536,V4:594,V7:366,V9:378,V11:140 unsat=C1:286,C1:358
X 42 vars=V0:7,V1:6,V2:514,V3:592,V4:28,V5:172 unsat=C0:81,C0:189
X 43 vars=V0:7,V1:151,V2:310,V3:93,V4:169,V5:571 unsat=C1:492,C1:600
X 44 vars=V0:7,V1:409,V2:493,V3:637,V4:148,V5:579 unsat=C2:330,C2:438
X 45 vars=V0:7,V2:33,V4:379,V7:151,V9:379,V11:321 unsat=C1:395,C1:467
X 46 vars=V0:7,V2:283,V4:525,V7:381,V9:427,V11:7 unsat=C2:23,C2:95
X 47 vars=V0:7,V2:641,V4:485,V7:209,V9:7,V11:413 unsat=C0:9,C0:81
X 48 vars=V0:7,V3:244,V3:337,V6:142,V6:235,V9:79 unsat=C1:250,C1:412
X 49 vars=V0:8,V1:79,V2:83,V3:269,V4:569,V5:65 unsat=C0:46,C0:154
X 50 vars=V0:8,V1:152,V2:419,V3:274,V4:494,V5:356 unsat=C1:25,C1:565
X 51 vars=V0:8,V1:518,V2:170,V3:314,V4:581,V5:436 unsat=C2:79,C2:187
X 52 vars=V0:8,V2:178,V4:164,V7:584,V9:380,V11:502 unsat=C1:504,C1:576
X 53 vars=V0:8,V2:282,V4:342,V7:66,V9:44,V11:54 unsat=C0:46,C0:622
X 54 vars=V0:8,V2:500,V4:238,V7:130,V9:428,V11:224 unsat=C2:348,C2:420
X 55 vars=V0:9,V1:152,V2:300,V3:594,V4:462,V5:606 unsat=C0:11,C0:119
X 56 vars=V0:9,V1:153,V2:528,V3:455,V4:171,V5:141 unsat=C1:98,C1:638
X 57 vars=V0:9,V1:627,V2:495,V3:639,V4:366,V5:293 unsat=C2:476,C2:584
X 58 vars=V0:9,V2:69,V4:599,V7:527,V9:429,V11:441 unsat=C2:25,C2:97
X 59 vars=V0:9,V2:323,V4:597,V7:369,V9:381,V11:35 unsat=C1:37,C1:613
X 60 vars=V0:9,V2:571,V4:199,V7:571,V9:81,V11:343 unsat=C0:11,C0:587
X 61 vars=V0:10,V1:88,V2:172,V3:316,V4:151,V5:150 unsat=C2:225,C2:333
X 62 vars=V0:10,V1:154,V2:637,V3:636,V4:496,V5:574 unsat=C1:63,C1:171
X 63 vars=V0:10,V1:225,V2:517,V3:271,V4:355,V5:499 unsat=C0:84,C0:624
X 64 vars=V0:10,V2:212,V4:56,V7:428,V9:118,V11:632 unsat=C0:552,C0:624
X 65 vars=V0:10,V2:286,V4:312,V7:276,V9:430,V11:10 unsat=C2:350,C2:422
X 66 vars=V0:10,V2:468,V4:382,V7:154,V9:382,V11:216 unsat=C1:74,C1:146
X 67 vars=V0:11,V1:155,V2:98,V3:169,V4:173,V5:359 unsat=C1:136,C1:244
X 68 vars=V0:11,V1:197,V2:497,V3:641,V4:584,V5:7 unsat=C2:82,C2:622
X 69 vars=V0:11,V1:298,V2:86,V3:596,V4:248,V5:392 unsat=C0:49,C0:589
X 70 vars=V0:11,V2:501,V4:561,V7:285,V9:155,V11:273 unsat=C0:517,C0:589
X 71 vars=V0:11,V2:503,V4:25,V7:25,V9:431,V11:227 unsat=C2:27,C2:99
X 72 vars=V0:11,V2:613,V4:167,V7:587,V9:383,V11:397 unsat=C1:183,C1:255
X 73 vars=V0:12,V1:156,V2:207,V3:350,V4:498,V5:144 unsat=C1:209,C1:317
X 74 vars=V0:12,V1:306,V2:174,V3:318,V4:369,V5:512 unsat=C2:371,C2:479
X 75 vars=V0:12,V1:371,V2:303,V3:273,V4:141,V5:285 unsat=C0:14,C0:554
X 76 vars=V0:12,V2:72,V4:386,V7:422,V9:432,V11:444 unsat=C2:352,C2:424
X 77 vars=V0:12,V2:110,V4:600,V7:372,V9:384,V11:578 unsat=C1:292,C1:364
X 78 vars=V0:12,V2:142,V4:418,V7:142,V9:192,V11:562 unsat=C0:482,C0:554
X 79 vars=V0:13,V1:157,V2:316,V3:531,V4:175,V5:577 unsat=C1:282,C1:390
X 80 vars=V0:13,V1:415,V2:499,V3:643,V4:154,V5:369 unsat=C2:120,C2:228
X 81 vars=V0:13,V1:444,V2:520,V3:598,V4:34,V5:178 unsat=C0:519,C0:627
X 82 vars=V0:13,V2:255,V4:385,V7:157,V9:385,V11:111 unsat=C1:401,C1:473
X 83 vars=V0:13,V2:289,V4:99,V7:171,V9:433,V11:13 unsat=C2:29,C2:101
X 84 vars=V0:13,V2:431,V4:275,V7:647,V9:229,V11:203 unsat=C0:447,C0:519
X 85 vars=V0:14,V1:158,V2:425,V3:64,V4:500,V5:362 unsat=C1:355,C1:463
X 86 vars=V0:14,V1:517,V2:89,V3:275,V4:575,V5:71 unsat=C0:484,C0:592
X 87 vars=V0:14,V1:524,V2:176,V3:320,V4:587,V5:226 unsat=C2:517,C2:625
X 88 vars=V0:14,V2:72,V4:132,V7:504,V9:266,V11:492 unsat=C0:412,C0:484
X 89 vars=V0:14,V2:400,V4:170,V7:590,V9:386,V11:292 unsat=C1:510,C1:582
X 90 vars=V0:14,V2:506,V4:460,V7:568,V9:434,V11:230 unsat=C2:354,C2:426
X 91 vars=V0:15,V1:159,V2:534,V3:245,V4:177,V5:147 unsat=C1:428,C1:536
X 92 vars=V0:15,V1:590,V2:306,V3:600,V4:468,V5:612 unsat=C0:449,C0:557
X 93 vars=V0:15,V1:633,V2:501,V3:645,V4:372,V5:83 unsat=C2:266,C2:374
X 94 vars=V0:15,V2:75,V4:173,V7:317,V9:435,V11:447 unsat=C2:31,C2:103
X 95 vars=V0:15,V2:361,V4:637,V7:361,V9:303,V11:133 unsat=C0:377,C0:449
X 96 vars=V0:15,V2:545,V4:603,V7:375,V9:387,V11:473 unsat=C1:43,C1:619
X 97 vars=V0:16,V1:15,V2:523,V3:277,V4:361,V5:505 unsat=C0:414,C0:522
X 98 vars=V0:16,V1:94,V2:178,V3:322,V4:157,V5:588 unsat=C2:15,C2:123
X 99 vars=V0:16,V1:160,V2:643,V3:426,V4:502,V5:580 unsat=C1:501,C1:609
X 100 vars=V0:16,V2:2,V4:494,V7:218,V9:340,V11:422 unsat=C0:342,C0:414
X 101 vars=V0:16,V2:42,V4:388,V7:160,V9:388,V11:6 unsat=C1:80,C1:152
X 102 vars=V0:16,V2:292,V4:534,V7:66,V9:436,V11:16 unsat=C2:356,C2:428
X 103 vars=V0:17,V1:88,V2:92,V3:602,V4:254,V5:398 unsat=C0:379,C0:487
X 104 vars=V0:17,V1:161,V2:104,V3:607,V4:179,V5:365 unsat=C1:34,C1:574
X 105 vars=V0:17,V1:203,V2:503,V3:647,V4:590,V5:445 unsat=C2:412,C2:520
