X 0 vars=V0:2,V6:276,V6:412,V7:308,V8:452,V8:604,V9:196,V10:28,V11:524,V11:732 unsat=C0:500,C0:611
X 1 vars=V0:4,V2:148,V4:68,V6:437,V6:534,V7:558,V8:470,V8:518,V9:478,V11:414 unsat=C2:21,C2:533
X 2 vars=V0:4,V2:180,V4:372,V7:94,V8:310,V8:494,V9:14,V10:174,V10:677,V11:206 unsat=C2:453,C2:709
X 3 vars=V0:4,V2:452,V4:84,V7:94,V8:214,V8:373,V9:494,V10:198,V10:406,V11:414 unsat=C0:469,C0:725
X 4 vars=V0:4,V2:452,V4:596,V6:134,V6:318,V7:94,V8:117,V8:254,V9:30,V11:174 unsat=C1:149,C1:405
X 5 vars=V0:4,V2:540,V4:524,V6:318,V7:341,V7:350,V8:470,V9:238,V9:758,V10:454 unsat=C0:469,C0:597
X 6 vars=V0:4,V2:660,V4:68,V6:181,V6:574,V7:94,V9:494,V10:198,V10:382,V11:414 unsat=C0:469,C0:725
X 7 vars=V0:4,V2:692,V4:628,V6:326,V6:374,V7:334,V9:270,V10:390,V10:677,V11:414 unsat=C1:5,C1:261
X 8 vars=V0:4,V2:756,V4:492,V6:318,V7:94,V7:342,V8:302,V10:422,V11:198,V11:253 unsat=C2:381,C2:509
X 9 vars=V0:4,V2:764,V4:20,V6:318,V8:694,V9:141,V9:214,V10:334,V11:366,V11:614 unsat=C1:269,C1:397
X 10 vars=V0:12,V2:188,V4:124,V7:230,V8:118,V8:702,V9:150,V10:109,V10:310,V11:598 unsat=C2:397,C2:653
X 11 vars=V0:12,V2:204,V4:92,V7:230,V8:350,V8:573,V9:118,V10:30,V10:334,V11:38 unsat=C0:157,C0:669
X 12 vars=V0:12,V2:204,V4:604,V6:526,V6:710,V7:230,V8:317,V8:390,V9:422,V11:310 unsat=C1:93,C1:349
X 13 vars=V0:12,V2:292,V4:276,V6:710,V7:486,V7:541,V8:606,V9:382,V9:630,V10:590 unsat=C0:29,C0:669
X 14 vars=V0:12,V2:412,V4:588,V6:125,V6:198,V7:230,V9:118,V10:334,V10:518,V11:38 unsat=C0:157,C0:669
X 15 vars=V0:12,V2:516,V4:28,V6:710,V8:62,V9:85,V9:606,V10:726,V11:502,V11:750 unsat=C1:213,C1:341
X 16 vars=V0:12,V2:668,V4:588,V6:158,V6:381,V7:694,V8:142,V8:606,V9:614,V11:38 unsat=C2:477,C2:733
X 17 vars=V0:12,V2:700,V4:380,V6:510,V6:718,V7:726,V9:406,V10:109,V10:526,V11:38 unsat=C1:205,C1:461
X 18 vars=V0:12,V2:764,V4:244,V6:710,V7:230,V7:478,V8:694,V10:558,V11:197,V11:590 unsat=C2:325,C2:453
X 19 vars=V0:20,V2:4,V4:764,V6:334,V7:366,V7:614,V8:318,V10:694,V11:141,V11:214 unsat=C2:269,C2:397
X 20 vars=V0:20,V2:44,V4:28,V6:334,V7:622,V7:741,V8:742,V9:6,V9:254,V10:726 unsat=C0:101,C0:229
X 21 vars=V0:20,V2:164,V4:340,V6:69,V6:590,V7:366,V9:510,V10:470,V10:654,V11:430 unsat=C0:101,C0:357
X 22 vars=V0:20,V2:196,V4:644,V7:366,V8:326,V8:510,V9:286,V10:309,V10:446,V11:222 unsat=C2:341,C2:597
